ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
PSME1	-1.28	0.0339
PSMF1	-1.48	0.0128
PSPH	-1.39	0.00416
PTGR2	-1.28	0.0382
PTPA	-1.95	0.00366
PTPRM	-2.93	0.00198
PZP	-4.03	0.000622
QARS1	-1.05	0.011
RAB3GAP2	-1.17	0.0145
RABGGTA	-3.95	0.00294
RAN	-1.44	0.00357
RANBP1	-1.27	0.0078
RANBP9	-4.46	0.00334
RBP4	-5.07	0.00158
RBX1	-1.03	0.0255
RGN	-4.24	0.00158
RIDA	-1.47	0.0118
RNH1	-2.27	0.00404
RNPEP	-1.3	0.00804
RPL37A	-3.38	0.000463
RPS7	-4.24	0.000712
RTCA	-1.48	0.0438
S100A11	-2.01	0.0177
S100A4	-2.53	0.0133
S100A6	-2.09	0.0024
SACM1L	-1.32	0.0151
SERPINA7	-3.95	6e-04
SERPINB6	-1.38	0.00478
SERPINC1	-3.4	0.000369
SERPINF1	-4.3	0.000793
SF3A3	-2.2	0.0155
SF3B1	-2.94	0.00534
SFPQ	-4.11	0.000308
SGTA	-1.06	0.0242
SH3BGRL3	-1.86	0.0103
SH3GL1	-1.34	0.00756
SLC12A4	-2.47	0.00136
SLC9A3R1	-3.95	0.000281
SMG1	-2.36	0.0104
SNRNP200	-3.56	0.000399
SNTB2	-4.23	0.000737
SOD1	-3.82	0.000997
SORD	-3.91	0.000726
SRM	-1.67	0.0072
SRRT	-1.3	0.0488
SSRP1	-3.21	0.000672
STAM	-5.28	0.000196
STIP1	-3.21	0.000577
STK10	-1.32	0.0103
STMN1	-2.11	0.00167
STRAP	-1.47	0.00812
STUB1	-1.39	0.0235
SVIL	-1.09	0.0467
TBC1D13	-3.49	0.00258
TBC1D15	-3.74	0.000197
TBCA	-1.63	0.0277
TCP1	-1.05	0.0222
TF	-4.93	0.000278
THBS1	-2.35	0.00244
THBS4	-5.62	0.000281
TIMP2	-1.01	0.0116
TMEM14C	-2.09	0.00935
TOM1L2	-3.24	0.000315
TPI1	-1.34	0.00437
TPT1	-1.19	0.00883
TTLL12	-1.68	0.00795
TTR	-4.2	0.00527
TUBB4B	-2.13	0.000765
TWF1	-1.46	0.0138
TWF2	-4.46	0.0398
TXN	-2.24	0.0119
TXNL1	-1.69	0.00503
UBE2D2	-1.66	0.0109
UBE2D3	-1.17	0.0336
UBE2K	-1.13	0.0118
UBE2V1	-1.25	0.0175
UBE2V2	-1.19	0.0102
UBE2Z	-1.47	0.0189
UBE4B	-5.08	0.00018
UBL5	-1.24	0.0103
UCHL1	-1.68	0.00272
UCHL3	-1.11	0.0145
UCHL5	-2.5	0.00904
UCK2	-1.28	0.0341
UPF1	-1.98	0.00398
USP10	-1.27	0.0158
USP15	-1.27	0.00789
USP9X	-1.51	0.00344
USP9Y	-2.26	0.0114
VNN1	-4.47	0.000326
VTA1	-2.2	0.000793
VTN	-3.01	0.00117
WASHC4	-4.32	0.000538
YWHAB	-1.49	0.00903
YWHAE	-1.64	0.00666
YWHAG	-1.22	0.0145
YWHAH	-1.26	0.00926
YWHAQ	-1.35	0.0192
YWHAZ	-1.72	0.00707
ZBTB8OS	-1.69	0.0258
